floor,total floor,years of house,Square footage,building present situation pattern - hall,Transfer building present situation pattern - compartmented,Transfer Management organization,School,0.257-11,Distance To Bay,parking space,logY
10,12,5,20.00735,0,0,1,0.676633362,7,1.252851982,1,3.430400645
22,22,14,17.86565,1,1,1,0.546246659,2,0.978960677,0,3.630150884
2,14,8,21.807225,1,1,1,0.546246659,2,0.978960677,0,3.659231734
7,11,2,50.98335,2,1,1,0.546246659,2,0.978960677,1,3.570126155
15,16,15,14.039025,1,1,1,0.937716511,6,0.20537172,0,3.778217533
4,5,28,24.1758,2,1,0,0.546246659,2,0.978960677,0,3.328138775
7,16,19,38.977125,2,1,1,0.546246659,2,0.978960677,1,3.660708605
4,7,17,51.930175,2,1,0,0.699231757,2,1.127421334,1,3.302812938
11,22,14,32.055925,2,1,1,0.546246659,2,0.978960677,0,3.632591275
5,21,0,56.038125,2,1,1,0.546246659,2,0.978960677,1,3.557234663
11,21,0,24.541825,1,1,1,0.546246659,2,0.978960677,1,3.728689553
2,4,33,27.72715,1,1,0,0.928673668,6,0.108835403,0,3.581061197
14,22,14,25.086325,1,1,1,0.546246659,2,0.978960677,0,3.551999662
23,41,16,13.403775,1,1,1,0.928673668,6,0.108835403,0,3.798729351
8,13,14,10.14585,1,1,1,0.676633362,7,1.252851982,0,3.781337226
2,12,5,13.536875,2,1,1,0.676633362,7,1.252851982,0,3.971799583
29,41,15,13.403775,1,1,1,0.928673668,6,0.108835403,0,3.766463217
9,17,16,11.18645,1,1,1,0.928673668,6,0.108835403,0,3.842363512
9,19,5,13.077075,1,1,1,0.928673668,6,0.108835403,0,4.073029389
10,12,5,21.135675,2,1,1,0.676633362,7,1.252851982,0,3.911409565
9,26,18,38.813775,2,1,1,0.546246659,2,0.978960677,0,3.491780179
2,4,37,8.6394,0,1,0,0.18979162,4,1.61500919,0,3.399101678
4,21,0,65.088925,2,1,1,0.546246659,2,0.978960677,1,3.719714714
7,21,0,49.092725,2,1,1,0.546246659,2,0.978960677,1,3.681408417
